City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Stornoway,GB,58.2093,-6.3865,51.76,71,75,14.97,broken clouds
150,Batagay,RU,67.6333,134.6333,39.79,46,94,3.78,overcast clouds
151,Leningradskiy,RU,69.3833,178.4167,30.0,89,99,3.24,overcast clouds
152,Bubaque,GW,11.2833,-15.8333,79.14,76,100,16.62,overcast clouds
153,Hasaki,JP,35.7333,140.8333,55.8,87,72,3.51,broken clouds
154,La Ronge,CA,55.1001,-105.2842,55.65,54,90,9.22,overcast clouds
155,Paka,MY,4.6374,103.4368,78.73,90,44,5.19,scattered clouds
156,Puqi,CN,29.7167,113.8833,62.2,97,100,1.74,overcast clouds
157,Cidreira,BR,-30.1811,-50.2056,59.45,67,63,27.25,broken clouds
158,Kaitangata,NZ,-46.2817,169.8464,46.92,83,53,5.37,broken clouds
159,Chokurdakh,RU,70.6333,147.9167,27.59,97,100,4.59,overcast clouds
160,Alta Floresta,BR,-9.8756,-56.0861,91.22,55,20,3.44,few clouds
161,Airai,TL,-8.9266,125.4092,56.07,82,46,1.68,scattered clouds
162,Axim,GH,4.8699,-2.2405,80.71,80,9,8.59,clear sky
163,Mataram,ID,-8.5833,116.1167,76.01,88,42,5.5,scattered clouds
164,Asosa,ET,10.0667,34.5333,70.11,61,94,1.74,overcast clouds
165,Norman Wells,CA,65.282,-126.8329,50.04,87,90,8.05,moderate rain
166,Alice Springs,AU,-23.7,133.8833,45.95,38,0,6.89,clear sky
167,Ribeira Grande,PT,38.5167,-28.7,64.8,59,20,14.97,few clouds
168,Barra Do Garcas,BR,-15.89,-52.2567,81.18,56,0,8.16,light rain
169,Fairbanks,US,64.8378,-147.7164,49.23,64,90,4.61,overcast clouds
170,Orlik,RU,52.5178,99.825,34.11,96,97,2.59,light rain
171,Nantucket,US,41.2835,-70.0995,84.31,64,1,13.8,clear sky
172,Ucluelet,CA,48.9329,-125.5528,65.05,86,100,4.68,overcast clouds
173,Grand Gaube,MU,-20.0064,57.6608,73.8,78,9,4.0,clear sky
174,Biak,ID,-0.9131,122.8766,76.24,85,92,5.66,overcast clouds
175,Tiznit,MA,29.5833,-9.5,64.65,56,100,6.82,overcast clouds
176,Saint George,US,37.1041,-113.5841,75.67,20,1,1.99,clear sky
177,Saint Anthony,US,45.0205,-93.218,79.92,77,40,1.99,scattered clouds
178,Khyriv,UA,49.5333,22.8524,51.55,97,100,3.56,light rain
179,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,74,0,0.0,clear sky
180,Pinyug,RU,60.251,47.7842,56.48,78,100,5.06,overcast clouds
181,Tahlequah,US,35.9154,-94.97,82.62,54,90,6.91,overcast clouds
182,Lachi,PK,33.3833,71.3386,73.94,37,52,4.83,broken clouds
183,Talnakh,RU,69.4865,88.3972,36.23,100,100,3.36,light rain
184,Cubarral,CO,3.7935,-73.8406,76.46,89,100,3.04,overcast clouds
185,Bolshaya Sosnova,RU,57.6713,54.6029,59.58,63,100,5.14,light rain
